abschlussDe;ausbildungskategorie;ausbildungsstaetteDe;Bildungsrichtung (Optional)
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BETRIEBE;Bildungszentrum Emme;
Eidg. Berufsattest EBA (dual Schule-Lehrbetrieb);BETRIEBE;Bildungszentrum Emme;
Berufsmaturität 2;BERUFSFACHSCHULEN;Berufsfachschule Oberwallis;
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BETRIEBE;BFB Bildung Formation Biel;
Eidg. Berufsattest EBA (dual Schule-Lehrbetrieb);BETRIEBE;BFB Bildung Formation Biel;
Eidg. Berufsattest EBA (Vollzeitschule);BERUFSFACHSCHULEN;BFB Bildung Formation Biel;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;BFB Bildung Formation Biel;
Berufsmaturität 2;BERUFSFACHSCHULEN;BFB Bildung Formation Biel;
Eidg. Fachausweis (Berufsprüfung BP);BERUFSPRUEFUNG;BFB Bildung Formation Biel;
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;BFF Bern;BERUFLICHE_GRUNDBILDUNG
Vorlehre 25 Plus;BRUECKENANGEBOT;BFF Bern;
Diplom HF;HOEHERE_FACHSCHULE;BFF Bern;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;BFF Bern;
Eidg. Berufsattest EBA (Vollzeitschule);BERUFSFACHSCHULEN;BFF Bern;
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BETRIEBE;BFF Bern;
Eidg. Berufsattest EBA (dual Schule-Lehrbetrieb);BETRIEBE;BFF Bern;
Passerelle Fachhochschule (FH);BRUECKENANGEBOT;Berner Fachhochschule BFH;HOCHSCHULE
Vorstudienpraktikum;BRUECKENANGEBOT;Berner Fachhochschule BFH;HOCHSCHULE
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;BiCT Der Berufsbildner;BERUFLICHE_GRUNDBILDUNG
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;BiCT Der Berufsbildner;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;Bénédict-Schule;
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;bsd. Berufsfachschule des Detailhandels Bern;BERUFLICHE_GRUNDBILDUNG
Eidg. Fachausweis (Berufsprüfung BP);BERUFSPRUEFUNG;bsd. Berufsfachschule des Detailhandels Bern;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;bwd Bildungszentrum für Wirtschaft und Dienstleistung;
Berufsmaturität 2;BERUFSFACHSCHULEN;bwd Bildungszentrum für Wirtschaft und Dienstleistung;
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BETRIEBE;bwd Bildungszentrum für Wirtschaft und Dienstleistung;
Eidg. Berufsattest EBA (dual Schule-Lehrbetrieb);BETRIEBE;bwd Bildungszentrum für Wirtschaft und Dienstleistung;
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BETRIEBE;BWZ Lyss Berufs- und Weiterbildungszentrum;
Eidg. Berufsattest EBA (dual Schule-Lehrbetrieb);BETRIEBE;BWZ Lyss Berufs- und Weiterbildungszentrum;
Eidg. Fachausweis (Berufsprüfung BP);BERUFSPRUEFUNG;BWZ Lyss Berufs- und Weiterbildungszentrum;
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;Campus Muristalden Bern;BERUFLICHE_GRUNDBILDUNG
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Campus Muristalden Bern;
Diplom HF;HOEHERE_FACHSCHULE;Careum Bildungszentrum;
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;ceff – Centre de formation professionnelle Berne francophone;BERUFLICHE_GRUNDBILDUNG
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;ceff – Centre de formation professionnelle Berne francophone;
Eidg. Berufsattest EBA (Vollzeitschule);BERUFSFACHSCHULEN;ceff – Centre de formation professionnelle Berne francophone;
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BETRIEBE;ceff – Centre de formation professionnelle Berne francophone;
